line #s,T.A Paris BnF fr. 23112 - Transcription,T.A Edited,T.A Translation
...,...,...,...
157,De se biaute de se figure,De se biaute de se figure,"Of her beauty, of her figure"
158,Si co ele est en escriture,Si com ele est en escriture,as it is in the written source
159,Vueil -i- peu dire le samblant,Vueil -i- peu dire le samblant,I want to say a little about her appearance
160,Anchois q ie trespas avant,Anchois que je trespas avant,before I go too far.
161,Car a cel tans en icel regne,Car a cel tans en icel regne,"For at that time in that reign,"
162,Ne vit nus hom plus bele feme,Ne vit nus hom plus bele feme,no man saw a more beautiful woman.
163,Ne onc contesse ne roine,Ne onc contesse ne roine,Never countess nor queen
164,Nen ot el front plus bele crine,Nen ot el front plus bele crine,had over her brow more beautiful hair.
165,Reondes avoit les oreilles,Reondes avoit les oreilles,She had round ears.
166,Mais blanches erent a mueilles,Mais blanches erent a merveilles,"What's more, they were marvelously white,"
167,Les iex clers & sosrians,Les iex clers & sosrians,"her eyes bright and smiling,"
168,les sorchix noir & avenans,les sorchix noir & avenans,"her eyebrows black and becoming,"
169,bouche petite p mesure,bouche petite par mesure,"her little mouth mild,"
170,& le pie & le regardeiue,& pie le regardeiue,"and pious her gaze,"
171,Le face tenrre & coloree,Le face tenrre & coloree,her face tender and blushing
172,Co le rose q sempre est nee,Com le rose qui sempre est nee,like the rose that is always in bloom.
173,Ja el nes ne el menton,Ja el nes ne el menton,Indeed neither on her nose nor on her chin
174,Napceussies mesfaichon,N'aperceussies mesfaichon,would you be aware of any defect.
175,En som le col blanc c ermine,En som le col blanc com ermine,Her neck was white like ermine too.
176,li un doit le bloie crine,li undoit le bloie crine,There flowed her blonde hair.
177,Les mameles de cele dame,Les mameles de cele dame,The breasts of this lady
178,Nestoient merres dune pome,N'estoient menrres d'une pome,were no smaller than apples.
179,Desous le goule en le poitne,Desous le goule en le poitrine,"Above the cleavage of her chest,"
180,Ert blanche cme flor despine,Ert blanche conme flor d'espine,it was white like hawthorn flower.
181,blans bras avoit & blaces mains,blans bras avoit & blances mains,"She had white arms and white hands,"
182,Les dois reons gilles & plains,Les dois reons grailles & plains,"her fingers shapely, slender, and smooth."
183,Gent cors avoit & bn molle,Gent cors avoit & bien molle,She had a fine body and well molded
184,Sous laissele lonc le coste,Sous l'aissele lonc le coste,from her underarm along her rib.
185,El niert tp gnt ne tp petite,El n'iert trop grant no trop petite,She was neither too big nor too small.
186,Ja se faichon ne iert escte,Ja se faichon n'en iert escrite,Her frame could never be written.
187,Ja le biaute de ceste dame,Ja le biaute de ceste dame,The beauty of this lady
188,Nen iert escte p nul home,Nen iert escrite par nul home,could never be written by any man.
189,Tant iert cortoise de parler,Tant iert cortoise de parler,She was so courteous of speech.
190,Riens ni avoit q amender,Riens n'i avoit que amender,There was nothing to improve.
191,A plaindre fait tel caature,A plaindre fait tel criaature,Such a creature makes one lament
192,Qnt del creator navoit cure,Quant del Creator n'avoit cure,when she does not care about the Creator.
193,El recevoit plusors psens,El recevoit plusors presens,She received many presents
194,Sen acatoit bons vestems,S'en acatoit bons vestemens,and bought herself good garments.
195,Bons dras avoit . & avenans,Bons dras avoit . & avenans,She had good and fitting clothes
196,Por mix plaisir a ses amans,Por mix plaisir a ses amans,to better please her lovers.
197,Ele navoit soig de dras de laine,Ele n'avoit soing de dras de lainne,She did not care for woollen cloth.
198,Au pior jor de le semaine,Au pior jor de le semainne,"On the worst day of the week,"
199,Bon bliaut avoit dostorin,Bon bliaut avoit d'ostorin,she had a fine purple silk bliaut
200,& affubloit mantel dermin,& affubloit mantel d'ermin,and adorned herself with an ermine mantle.
